"id","lift","vert_feet","seats","last_chair"
3,"mineral basin",1429,4,"15:30:00"
8,"aerial tram",2900,125,"15:45:00"
5,"little cloud",1304,4,"15:45:00"
4,"gad 2",1242,4,"16:00:00"
7,"gadzoom",1827,6,"16:00:00"
2,"peruvian",2572,4,"16:00:00"
6,"wilbere",668,2,"16:30:00"
1,"chickadee",149,2,"17:00:00"
